"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
891733394,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","http://www.inaturalist.org/observations/381203","Animalia","Chordata",NA,"Pleuronectiformes","Achiridae","Trinectes","Trinectes maculatus",NA,"SPECIES","Trinectes maculatus (Bloch & Schneider, 1801)","Trinectes maculatus","","US","","Maryland","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",38.733732,-76.243744,4633,NA,NA,NA,NA,NA,"2013-08-21T12:52:41",21,8,2013,2408252,2408252,"HUMAN_OBSERVATION","iNaturalist","Observations","381203",NA,"fm5050",2013-08-29 01:28:22,"CC_BY_NC_4_0","fm5050","fm5050",NA,NA,2025-06-07 02:30:43.446,"","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5168512811,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/283104777","Animalia","Chordata",NA,"Pleuronectiformes","Achiridae","Trinectes","Trinectes maculatus",NA,"SPECIES","Trinectes maculatus (Bloch & Schneider, 1801)","Trinectes maculatus","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",29.675204,-82.951757,165,NA,NA,NA,NA,NA,"2025-05-21T12:04",21,5,2025,2408252,2408252,"HUMAN_OBSERVATION","iNaturalist","Observations","283104777",NA,"C. Phillips",2025-05-22 11:27:35,"CC_BY_NC_4_0","C. Phillips","C. Phillips",NA,NA,2025-06-07 00:27:46.576,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5168337711,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/284263305","Animalia","Chordata",NA,"Pleuronectiformes","Achiridae","Trinectes","Trinectes maculatus",NA,"SPECIES","Trinectes maculatus (Bloch & Schneider, 1801)","Trinectes maculatus","","US","","Massachusetts","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",41.834295,-71.106138,182,NA,NA,NA,NA,NA,"2025-05-26T10:36:38",26,5,2025,2408252,2408252,"HUMAN_OBSERVATION","iNaturalist","Observations","284263305",NA,"cbarba",2025-05-26 14:38:50,"CC_BY_NC_4_0","cbarba","cbarba",NA,NA,2025-06-07 01:46:41.968,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5168136905,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/283103165","Animalia","Chordata",NA,"Pleuronectiformes","Achiridae","Trinectes","Trinectes maculatus",NA,"SPECIES","Trinectes maculatus (Bloch & Schneider, 1801)","Trinectes maculatus","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",29.675707,-82.951961,165,NA,NA,NA,NA,NA,"2025-05-21T11:56",21,5,2025,2408252,2408252,"HUMAN_OBSERVATION","iNaturalist","Observations","283103165",NA,"C. Phillips",2025-05-22 11:14:16,"CC_BY_NC_4_0","C. Phillips","C. Phillips",NA,NA,2025-06-07 03:01:39.358,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5167949526,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/265242618","Animalia","Chordata",NA,"Pleuronectiformes","Achiridae","Trinectes","Trinectes maculatus",NA,"SPECIES","Trinectes maculatus (Bloch & Schneider, 1801)","Trinectes maculatus","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",29.266312,-82.718113,125,NA,NA,NA,NA,NA,"2025-03-13T22:50:58",13,3,2025,2408252,2408252,"HUMAN_OBSERVATION","iNaturalist","Observations","265242618",NA,"TheCarnivoreConnection",2025-03-14 03:33:56,"CC_BY_NC_4_0","TheCarnivoreConnection","TheCarnivoreConnection",NA,NA,2025-06-07 00:43:31.349,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5167655581,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/284645758","Animalia","Chordata",NA,"Pleuronectiformes","Achiridae","Trinectes","Trinectes maculatus",NA,"SPECIES","Trinectes maculatus (Bloch & Schneider, 1801)","Trinectes maculatus","","EC","","Guayas","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",-2.664354,-80.25176,4,NA,NA,NA,NA,NA,"2025-05-27T10:48",27,5,2025,2408252,2408252,"HUMAN_OBSERVATION","iNaturalist","Observations","284645758",NA,"Jorge Leiton",2025-05-27 20:27:34,"CC_BY_NC_4_0","Jorge Leiton","Jorge Leiton",NA,NA,2025-06-07 01:08:18.964,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5167073150,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/283104357","Animalia","Chordata",NA,"Pleuronectiformes","Achiridae","Trinectes","Trinectes maculatus",NA,"SPECIES","Trinectes maculatus (Bloch & Schneider, 1801)","Trinectes maculatus","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",29.675735,-82.951864,165,NA,NA,NA,NA,NA,"2025-05-21T12:03",21,5,2025,2408252,2408252,"HUMAN_OBSERVATION","iNaturalist","Observations","283104357",NA,"C. Phillips",2025-05-22 11:24:08,"CC_BY_NC_4_0","C. Phillips","C. Phillips",NA,NA,2025-06-07 02:14:28.369,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5154937963,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/280355948","Animalia","Chordata",NA,"Pleuronectiformes","Achiridae","Trinectes","Trinectes maculatus",NA,"SPECIES","Trinectes maculatus (Bloch & Schneider, 1801)","Trinectes maculatus","","US","","New Jersey","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",39.017533,-74.7604,3,NA,NA,NA,NA,NA,"2025-05-11T15:43:46",11,5,2025,2408252,2408252,"HUMAN_OBSERVATION","iNaturalist","Observations","280355948",NA,"friedmummichog",2025-05-11 21:17:01,"CC_BY_NC_4_0","friedmummichog","friedmummichog",NA,NA,2025-06-07 01:52:28.692,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5154895932,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/279761374","Animalia","Chordata",NA,"Pleuronectiformes","Achiridae","Trinectes","Trinectes maculatus",NA,"SPECIES","Trinectes maculatus (Bloch & Schneider, 1801)","Trinectes maculatus","","US","","Alabama","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",30.258033,-88.169773,NA,NA,NA,NA,NA,NA,"2025-05-06T12:51",6,5,2025,2408252,2408252,"HUMAN_OBSERVATION","iNaturalist","Observations","279761374",NA,"Bette J Kauffman",2025-05-09 18:40:28,"CC_BY_NC_4_0","Bette J Kauffman","Bette J Kauffman",NA,NA,2025-06-07 02:14:16.137,"","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5154517536,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/279989670","Animalia","Chordata",NA,"Pleuronectiformes","Achiridae","Trinectes","Trinectes maculatus",NA,"SPECIES","Trinectes maculatus (Bloch & Schneider, 1801)","Trinectes maculatus","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",27.782805,-82.614503,6,NA,NA,NA,NA,NA,"2025-05-03T17:46:06",3,5,2025,2408252,2408252,"HUMAN_OBSERVATION","iNaturalist","Observations","279989670",NA,"dakoetap",2025-05-10 17:13:31,"CC_BY_NC_4_0","dakoetap","dakoetap",NA,NA,2025-06-07 01:19:38.244,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5154467022,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/273277468","Animalia","Chordata",NA,"Pleuronectiformes","Achiridae","Trinectes","Trinectes maculatus",NA,"SPECIES","Trinectes maculatus (Bloch & Schneider, 1801)","Trinectes maculatus","","US","","Maryland","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",38.442143,-77.13394,NA,NA,NA,NA,NA,NA,"2025-04-25T12:14:24",25,4,2025,2408252,2408252,"HUMAN_OBSERVATION","iNaturalist","Observations","273277468",NA,"Tim Emhoff",2025-04-25 18:29:18,"CC_BY_NC_4_0","Tim Emhoff","Tim Emhoff",NA,NA,2025-06-07 02:17:49.458,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
