"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
919316866,"66f6192f-6cc0-45fd-a2d1-e76f5ae3eab2","diveboard:3022_1021311_0","Animalia","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus","Pagurus longicarpus",NA,"SPECIES","Pagurus longicarpus Say, 1817","Pagurus longicarpus Say, 1817","","US","Pebble Beach","","PRESENT",NA,"1989b627-2a61-44db-83e4-392efc5da0a9",42.6357,-70.5985,100,NA,0,0,2.665,2.665,"2011-09-25T10:07Z",25,9,2011,2224197,2224197,"HUMAN_OBSERVATION","Diveboard","Diveboard","diveboard:3022_1021311_0",NA,"Anonymous",2011-09-25,"CC_BY_NC_4_0","Diveboard","Anonymous",NA,NA,2025-01-31 21:31:24.304,"","COORDINATE_REPROJECTION_SUSPICIOUS;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
857012846,"66f6192f-6cc0-45fd-a2d1-e76f5ae3eab2","diveboard:3018_1021311_0","Animalia","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus","Pagurus longicarpus",NA,"SPECIES","Pagurus longicarpus Say, 1817","Pagurus longicarpus Say, 1817","","US","Back Beach","","PRESENT",NA,"1989b627-2a61-44db-83e4-392efc5da0a9",42.6609,-70.6238,100,NA,0,0,2.65,2.65,"2010-07-05T07:42Z",5,7,2010,2224197,2224197,"HUMAN_OBSERVATION","Diveboard","Diveboard","diveboard:3018_1021311_0",NA,"Anonymous",2010-07-05,"CC_BY_NC_4_0","Diveboard","Anonymous",NA,NA,2025-01-31 21:31:24.85,"","COORDINATE_REPROJECTION_SUSPICIOUS;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
857011250,"66f6192f-6cc0-45fd-a2d1-e76f5ae3eab2","diveboard:66925_1021311_0","Animalia","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus","Pagurus longicarpus",NA,"SPECIES","Pagurus longicarpus Say, 1817","Pagurus longicarpus Say, 1817","","GB","Selsey Lifeboat Station","","PRESENT",NA,"1989b627-2a61-44db-83e4-392efc5da0a9",50.7278,-0.77937,100,NA,0,0,2.35,2.35,"2013-06-02T10:50Z",2,6,2013,2224197,2224197,"HUMAN_OBSERVATION","Diveboard","Diveboard","diveboard:66925_1021311_0",NA,"Keir Whitlock",2013-06-02,"CC_BY_NC_4_0","Diveboard","Keir Whitlock",NA,NA,2025-01-31 21:31:25.562,"","COORDINATE_REPROJECTION_SUSPICIOUS;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5177320149,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/286326415","Animalia","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus","Pagurus longicarpus",NA,"SPECIES","Pagurus longicarpus Say, 1817","Pagurus longicarpus","","US","","Delaware","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",38.912653,-75.303103,44,NA,NA,NA,NA,NA,"2025-06-02T13:36:45",2,6,2025,2224197,2224197,"HUMAN_OBSERVATION","iNaturalist","Observations","286326415",NA,"Sarah J Armstrong",2025-06-02 17:38:34,"CC_BY_NC_4_0","Sarah J Armstrong","Sarah J Armstrong",NA,NA,2025-06-07 02:20:23.846,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5177242541,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/284670904","Animalia","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus","Pagurus longicarpus",NA,"SPECIES","Pagurus longicarpus Say, 1817","Pagurus longicarpus","","US","","South Carolina","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",32.568497,-80.151439,NA,NA,NA,NA,NA,NA,"2025-05-27T17:21:14",27,5,2025,2224197,2224197,"HUMAN_OBSERVATION","iNaturalist","Observations","284670904",NA,"Eiji Myorin",2025-05-28 00:14:23,"CC_BY_NC_4_0","bonnieeamick","bonnieeamick",NA,NA,2025-06-07 01:34:39.331,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5177234299,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/285491644","Animalia","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus","Pagurus longicarpus",NA,"SPECIES","Pagurus longicarpus Say, 1817","Pagurus longicarpus","","US","","Delaware","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",38.787329,-75.151389,NA,NA,NA,NA,NA,NA,"2025-05-30T18:53:48",30,5,2025,2224197,2224197,"HUMAN_OBSERVATION","iNaturalist","Observations","285491644",NA,"inbetweenbays",2025-05-31 01:15:51,"CC_BY_4_0","inbetweenbays","inbetweenbays",NA,NA,2025-06-07 02:07:01.806,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5177213999,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/285491304","Animalia","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus","Pagurus longicarpus",NA,"SPECIES","Pagurus longicarpus Say, 1817","Pagurus longicarpus","","US","","Delaware","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",38.78691,-75.150679,NA,NA,NA,NA,NA,NA,"2025-05-30T18:59:15",30,5,2025,2224197,2224197,"HUMAN_OBSERVATION","iNaturalist","Observations","285491304",NA,"inbetweenbays",2025-05-31 01:13:49,"CC_BY_4_0","inbetweenbays","inbetweenbays",NA,NA,2025-06-07 01:35:29.596,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5177108335,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/285489670","Animalia","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus","Pagurus longicarpus",NA,"SPECIES","Pagurus longicarpus Say, 1817","Pagurus longicarpus","","US","","Delaware","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",38.786119,-75.148568,NA,NA,NA,NA,NA,NA,"2025-05-30T19:15:16",30,5,2025,2224197,2224197,"HUMAN_OBSERVATION","iNaturalist","Observations","285489670",NA,"inbetweenbays",2025-05-31 01:05:10,"CC_BY_4_0","inbetweenbays","inbetweenbays",NA,NA,2025-06-07 01:31:40.442,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5177105913,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/284937668","Animalia","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus","Pagurus longicarpus",NA,"SPECIES","Pagurus longicarpus Say, 1817","Pagurus longicarpus","","US","","Maine","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",43.668097,-70.239717,NA,NA,NA,NA,NA,NA,"2025-05-28T18:27:37",28,5,2025,2224197,2224197,"HUMAN_OBSERVATION","iNaturalist","Observations","284937668",NA,"Callum O'Connell",2025-05-28 23:23:12,"CC_BY_NC_4_0","Callum O'Connell","Callum O'Connell",NA,NA,2025-06-07 01:54:01.261,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5176926609,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/285677475","Animalia","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus","Pagurus longicarpus",NA,"SPECIES","Pagurus longicarpus Say, 1817","Pagurus longicarpus","","US","","New York","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",40.583123,-73.912692,NA,NA,NA,NA,NA,NA,"2025-05-30T18:13",30,5,2025,2224197,2224197,"HUMAN_OBSERVATION","iNaturalist","Observations","285677475",NA,"Mikhail Favorov",2025-05-31 17:02:47,"CC_BY_NC_4_0","Mikhail Favorov","Mikhail Favorov",NA,NA,2025-06-07 01:40:49.777,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
